month = 1 ,day = 1 , 0
month = 1 ,day = 2 , 0
month = 1 ,day = 3 , 0
month = 1 ,day = 4 , 0
month = 1 ,day = 5 , 2
month = 1 ,day = 6 , 0
month = 1 ,day = 7 , 1
month = 1 ,day = 8 , 1
month = 1 ,day = 9 , 1
month = 1 ,day = 10 , 1
month = 1 ,day = 11 , 1
month = 1 ,day = 12 , 0
month = 1 ,day = 13 , 3
month = 1 ,day = 14 , 1
month = 1 ,day = 15 , 1
month = 1 ,day = 16 , 1
month = 1 ,day = 17 , 1
month = 1 ,day = 18 , 1
month = 1 ,day = 19 , 2
month = 1 ,day = 20 , 2
month = 1 ,day = 21 , 0
month = 1 ,day = 22 , 1
month = 1 ,day = 23 , 1
month = 1 ,day = 24 , 1
month = 1 ,day = 25 , 1
month = 1 ,day = 26 , 2
month = 1 ,day = 27 , 3
month = 1 ,day = 28 , 1
month = 1 ,day = 29 , 1
month = 1 ,day = 30 , 1
month = 1 ,day = 31 , 1

month = 2 ,day = 1 , 0
month = 2 ,day = 2 , 1
month = 2 ,day = 3 , 2
month = 2 ,day = 4 , 0
month = 2 ,day = 5 , 4
month = 2 ,day = 6 , 4
month = 2 ,day = 7 , 0
month = 2 ,day = 8 , 0
month = 2 ,day = 9 , 1
month = 2 ,day = 10 , 2
month = 2 ,day = 11 , 0
month = 2 ,day = 12 , 4
month = 2 ,day = 13 , 4
month = 2 ,day = 14 , 0
month = 2 ,day = 15 , 0
month = 2 ,day = 16 , 1
month = 2 ,day = 17 , 3
month = 2 ,day = 18 , 0
month = 2 ,day = 19 , 4
month = 2 ,day = 20 , 4
month = 2 ,day = 21 , 0
month = 2 ,day = 22 , 0
month = 2 ,day = 23 , 1
month = 2 ,day = 24 , 2
month = 2 ,day = 25 , 0
month = 2 ,day = 26 , 4
month = 2 ,day = 27 , 4
month = 2 ,day = 28 , 0

month = 3 ,day = 1 , 1
month = 3 ,day = 2 , 3
month = 3 ,day = 3 , 0
month = 3 ,day = 4 , 1
month = 3 ,day = 5 , 2
month = 3 ,day = 6 , 2
month = 3 ,day = 7 , 1
month = 3 ,day = 8 , 1
month = 3 ,day = 9 , 3
month = 3 ,day = 10 , 0
month = 3 ,day = 11 , 1
month = 3 ,day = 12 , 2
month = 3 ,day = 13 , 2
month = 3 ,day = 14 , 1
month = 3 ,day = 15 , 1
month = 3 ,day = 16 , 3
month = 3 ,day = 17 , 0
month = 3 ,day = 18 , 1
month = 3 ,day = 19 , 2
month = 3 ,day = 20 , 1
month = 3 ,day = 21 , 1
month = 3 ,day = 22 , 1
month = 3 ,day = 23 , 3
month = 3 ,day = 24 , 0
month = 3 ,day = 25 , 1
month = 3 ,day = 26 , 2
month = 3 ,day = 27 , 2
month = 3 ,day = 28 , 1
month = 3 ,day = 29 , 1
month = 3 ,day = 30 , 3
month = 3 ,day = 31 , 0



month = 4 ,day = 1 , 3
month = 4 ,day = 2 , 3
month = 4 ,day = 3 , 3
month = 4 ,day = 4 , 0
month = 4 ,day = 5 , 0
month = 4 ,day = 6 , 1
month = 4 ,day = 7 , 2
month = 4 ,day = 8 , 3
month = 4 ,day = 9 , 4
month = 4 ,day = 10 , 4
month = 4 ,day = 11 , 3
month = 4 ,day = 12 , 0
month = 4 ,day = 13 , 1
month = 4 ,day = 14 , 2
month = 4 ,day = 15 , 3
month = 4 ,day = 16 , 4
month = 4 ,day = 17 , 3
month = 4 ,day = 18 , 3
month = 4 ,day = 19 , 4
month = 4 ,day = 20 , 1
month = 4 ,day = 21 , 2
month = 4 ,day = 22 , 4
month = 4 ,day = 23 , 4
month = 4 ,day = 24 , 3
month = 4 ,day = 25 , 3
month = 4 ,day = 26 , 0
month = 4 ,day = 27 , 1
month = 4 ,day = 28 , 2
month = 4 ,day = 29 , 0
month = 4 ,day = 30 , 0

month = 5 ,day = 1 , 0
month = 5 ,day = 2 , 0
month = 5 ,day = 3 , 3
month = 5 ,day = 4 , 1
month = 5 ,day = 5 , 2
month = 5 ,day = 6 , 0
month = 5 ,day = 7 , 0
month = 5 ,day = 8 , 3
month = 5 ,day = 9 , 3
month = 5 ,day = 10 , 0
month = 5 ,day = 11 , 1
month = 5 ,day = 12 , 2
month = 5 ,day = 13 , 0
month = 5 ,day = 14 , 5
month = 5 ,day = 15 , 0
month = 5 ,day = 16 , 3
month = 5 ,day = 17 , 0
month = 5 ,day = 18 , 1
month = 5 ,day = 19 , 2
month = 5 ,day = 20 , 3
month = 5 ,day = 21 , 3
month = 5 ,day = 22 , 3
month = 5 ,day = 23 , 0
month = 5 ,day = 24 , 5
month = 5 ,day = 25 , 1
month = 5 ,day = 26 , 4
month = 5 ,day = 27 , 2
month = 5 ,day = 28 , 3
month = 5 ,day = 29 , 3
month = 5 ,day = 30 , 5
month = 5 ,day = 31 , 5

month = 6 ,day = 1 , 0
month = 6 ,day = 2 , 1
month = 6 ,day = 3 , 2
month = 6 ,day = 4 , 2
month = 6 ,day = 5 , 2
month = 6 ,day = 6 , 2
month = 6 ,day = 7 , 2
month = 6 ,day = 8 , 0
month = 6 ,day = 9 , 1
month = 6 ,day = 10 , 2
month = 6 ,day = 11 , 2
month = 6 ,day = 12 , 2
month = 6 ,day = 13 , 2
month = 6 ,day = 14 , 2
month = 6 ,day = 15 , 0
month = 6 ,day = 16 , 1
month = 6 ,day = 17 , 2
month = 6 ,day = 18 , 2
month = 6 ,day = 19 , 2
month = 6 ,day = 20 , 2
month = 6 ,day = 21 , 2
month = 6 ,day = 22 , 0
month = 6 ,day = 23 , 1
month = 6 ,day = 24 , 2
month = 6 ,day = 25 , 2
month = 6 ,day = 26 , 2
month = 6 ,day = 27 , 2
month = 6 ,day = 28 , 2
month = 6 ,day = 29 , 0
month = 6 ,day = 30 , 1



month = 7 ,day = 1 , 0
month = 7 ,day = 2 , 0
month = 7 ,day = 3 , 0
month = 7 ,day = 4 , 0
month = 7 ,day = 5 , 0
month = 7 ,day = 6 , 0
month = 7 ,day = 7 , 0
month = 7 ,day = 8 , 1
month = 7 ,day = 9 , 1
month = 7 ,day = 10 , 1
month = 7 ,day = 11 , 1
month = 7 ,day = 12 , 1
month = 7 ,day = 13 , 0
month = 7 ,day = 14 , 0
month = 7 ,day = 15 , 1
month = 7 ,day = 16 , 1
month = 7 ,day = 17 , 1
month = 7 ,day = 18 , 1
month = 7 ,day = 19 , 1
month = 7 ,day = 20 , 0
month = 7 ,day = 21 , 0
month = 7 ,day = 22 , 1
month = 7 ,day = 23 , 1
month = 7 ,day = 24 , 1
month = 7 ,day = 25 , 1
month = 7 ,day = 26 , 1
month = 7 ,day = 27 , 0
month = 7 ,day = 28 , 0
month = 7 ,day = 29 , 1
month = 7 ,day = 30 , 1
month = 7 ,day = 31 , 1

month = 8 ,day = 1 , 2
month = 8 ,day = 2 , 2
month = 8 ,day = 3 , 0
month = 8 ,day = 4 , 1
month = 8 ,day = 5 , 2
month = 8 ,day = 6 , 2
month = 8 ,day = 7 , 3
month = 8 ,day = 8 , 2
month = 8 ,day = 9 , 2
month = 8 ,day = 10 , 0
month = 8 ,day = 11 , 1
month = 8 ,day = 12 , 2
month = 8 ,day = 13 , 3
month = 8 ,day = 14 , 3
month = 8 ,day = 15 , 2
month = 8 ,day = 16 , 5
month = 8 ,day = 17 , 4
month = 8 ,day = 18 , 1
month = 8 ,day = 19 , 5
month = 8 ,day = 20 , 2
month = 8 ,day = 21 , 2
month = 8 ,day = 22 , 5
month = 8 ,day = 23 , 5
month = 8 ,day = 24 , 0
month = 8 ,day = 25 , 1
month = 8 ,day = 26 , 5
month = 8 ,day = 27 , 5
month = 8 ,day = 28 , 3
month = 8 ,day = 29 , 3
month = 8 ,day = 30 , 2
month = 8 ,day = 31 , 6

month = 9 ,day = 1 , 0
month = 9 ,day = 2 , 5
month = 9 ,day = 3 , 1
month = 9 ,day = 4 , 2
month = 9 ,day = 5 , 5
month = 9 ,day = 6 , 2
month = 9 ,day = 7 , 0
month = 9 ,day = 8 , 5
month = 9 ,day = 9 , 2
month = 9 ,day = 10 , 1
month = 9 ,day = 11 , 1
month = 9 ,day = 12 , 2
month = 9 ,day = 13 , 4
month = 9 ,day = 14 , 3
month = 9 ,day = 15 , 5
month = 9 ,day = 16 , 4
month = 9 ,day = 17 , 1
month = 9 ,day = 18 , 1
month = 9 ,day = 19 , 4
month = 9 ,day = 20 , 4
month = 9 ,day = 21 , 3
month = 9 ,day = 22 , 5
month = 9 ,day = 23 , 2
month = 9 ,day = 24 , 1
month = 9 ,day = 25 , 1
month = 9 ,day = 26 , 2
month = 9 ,day = 27 , 2
month = 9 ,day = 28 , 3
month = 9 ,day = 29 , 5
month = 9 ,day = 30 , 2


month = 10 ,day = 1 , 2
month = 10 ,day = 2 , 2
month = 10 ,day = 3 , 2
month = 10 ,day = 4 , 2
month = 10 ,day = 5 , 0
month = 10 ,day = 6 , 1
month = 10 ,day = 7 , 2
month = 10 ,day = 8 , 2
month = 10 ,day = 9 , 2
month = 10 ,day = 10 , 2
month = 10 ,day = 11 , 2
month = 10 ,day = 12 , 0
month = 10 ,day = 13 , 1
month = 10 ,day = 14 , 2
month = 10 ,day = 15 , 2
month = 10 ,day = 16 , 2
month = 10 ,day = 17 , 2
month = 10 ,day = 18 , 2
month = 10 ,day = 19 , 0
month = 10 ,day = 20 , 1
month = 10 ,day = 21 , 2
month = 10 ,day = 22 , 2
month = 10 ,day = 23 , 2
month = 10 ,day = 24 , 2
month = 10 ,day = 25 , 2
month = 10 ,day = 26 , 0
month = 10 ,day = 27 , 1
month = 10 ,day = 28 , 1
month = 10 ,day = 29 , 1
month = 10 ,day = 30 , 1
month = 10 ,day = 31 , 1


month = 11 ,day = 1 , 2
month = 11 ,day = 2 , 6
month = 11 ,day = 3 , 5
month = 11 ,day = 4 , 2
month = 11 ,day = 5 , 0
month = 11 ,day = 6 , 0
month = 11 ,day = 7 , 2
month = 11 ,day = 8 , 2
month = 11 ,day = 9 , 1
month = 11 ,day = 10 , 5
month = 11 ,day = 11 , 2
month = 11 ,day = 12 , 0
month = 11 ,day = 13 , 0
month = 11 ,day = 14 , 2
month = 11 ,day = 15 , 2
month = 11 ,day = 16 , 1
month = 11 ,day = 17 , 5
month = 11 ,day = 18 , 2
month = 11 ,day = 19 , 2
month = 11 ,day = 20 , 2
month = 11 ,day = 21 , 3
month = 11 ,day = 22 , 3
month = 11 ,day = 23 , 6
month = 11 ,day = 24 , 4
month = 11 ,day = 25 , 4
month = 11 ,day = 26 , 4
month = 11 ,day = 27 , 5
month = 11 ,day = 28 , 6
month = 11 ,day = 29 , 6
month = 11 ,day = 30 , 4

month = 12 ,day = 1 , 2
month = 12 ,day = 2 , 0
month = 12 ,day = 3 , 0
month = 12 ,day = 4 , 2
month = 12 ,day = 5 , 0
month = 12 ,day = 6 , 0
month = 12 ,day = 7 , 1
month = 12 ,day = 8 , 2
month = 12 ,day = 9 , 0
month = 12 ,day = 10 , 0
month = 12 ,day = 11 , 0
month = 12 ,day = 12 , 0
month = 12 ,day = 13 , 0
